DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2014,0.59,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2015,0.64,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2016,0.69,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2017,1.21,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2018,1.41,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2019,0.61,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2020,0.67,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Burgenland,2022,0.8,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2013,0.96,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2014,0.47,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2015,0.33,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,Annual,Rate,Total,Total,Asthma and status asthmaticus,Niederösterreich,2016,0.85,,
